cartera,subjurisdiccion,apertura,unidad,tipo_organismo
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Ingeniería,Dirección General de Sistemas Informáticos de Administración Financiera,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Gestión de Proyectos,Dirección General de Sistemas Informáticos de Administración Financiera,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Oficina Nacional de Presupuesto,Subsecretaría de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Oficina Nacional de Presupuesto,Subsecretaría de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Asuntos Parlamentarios y Capacitación Presupuestaria,Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación Sistema Operativo,Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,"Dirección de Políticas, Normas e Ingresos Presupuestarios",Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación Proyecciones de Ingresos Presupuestarios,"Dirección de Políticas, Normas e Ingresos Presupuestarios",Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Proyecciones y Estadísticas Presupuestarias,Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Presupuesto del Sector Público Nacional,Dirección de Proyecciones y Estadísticas Presupuestarias,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Evaluación Presupuestaria,Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Seguimiento Físico-Financiero,Dirección de Evaluación Presupuestaria,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Informes Fiscales Gerenciales,Dirección de Evaluación Presupuestaria,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Presupuesto de Sectores Administrativos y de Defensa y Seguridad,Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación del Presupuesto de Defensa,Dirección de Presupuesto de Sectores Administrativos y de Defensa y Seguridad,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación del Presupuesto de Seguridad,Dirección de Presupuesto de Sectores Administrativos y de Defensa y Seguridad,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación del Presupuesto de la Deuda Pública y Obligaciones del Tesoro,Dirección de Presupuesto de Sectores Administrativos y de Defensa y Seguridad,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Presupuesto de Sectores Económicos y Sociales,Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación del Presupuesto de Educación,Dirección de Presupuesto de Sectores Económicos y Sociales,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación del Presupuesto de Economía,Dirección de Presupuesto de Sectores Económicos y Sociales,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación del Presupuesto de Salud y Acción Social,Dirección de Presupuesto de Sectores Económicos y Sociales,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Presupuesto del Sistema de Seguridad Social,Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Presupuesto y Evaluación de Gastos en Personal,Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Análisis y Evaluación de Gastos en Personal,Dirección de Presupuesto y Evaluación de Gastos en Personal,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Sistemas de Información Presupuestaria Salarial,Dirección de Presupuesto y Evaluación de Gastos en Personal,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,"Dirección de Presupuesto de Empresas Públicas, Fondos Fiduciarios y Otros Entes Excluidos Expresamente de la Administración Nacional",Oficina Nacional de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Contaduría General de la Nación,Subsecretaría de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Contaduría General de la Nación,Subsecretaría de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación del Archivo General de la Administración Nacional,Contaduría General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Análisis e Información Financiera,Contaduría General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Estudios Contables y Financieros,Dirección de Análisis e Información Financiera,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Normas y Sistemas,Contaduría General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Sistemas Contables,Dirección de Normas y Sistemas,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Control de Sistemas,Contaduría General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Control de Sistemas Administrativos Contables,Dirección de Control de Sistemas,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Control de Sistemas Informáticos,Dirección de Control de Sistemas,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Procesamiento Contable,Contaduría General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación Área de Recursos y Gastos,Dirección de Procesamiento Contable,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación Área de Activos Financieros y Pasivos,Dirección de Procesamiento Contable,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación Área Contabilidad General,Dirección de Procesamiento Contable,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Tesorería General de la Nación,Subsecretaría de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Tesorería General de la Nación,Subsecretaría de Presupuesto,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Proyectos,Tesorería General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Programación y Control de la Ejecución Financiera,Tesorería General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Programación Financiera,Dirección de Programación y Control de la Ejecución Financiera,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Inversiones y Financiamiento,Dirección de Programación y Control de la Ejecución Financiera,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección Técnica,Tesorería General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Normas y Supervisión Tesorerías Jurisdiccionales,Dirección Técnica,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Sistemas de Información,Dirección Técnica,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Movimientos de Fondos,Tesorería General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Contralor,Dirección de Movimientos de Fondos,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Programación de Pagos,Dirección de Movimientos de Fondos,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Gestión de Pagos,Dirección de Movimientos de Fondos,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Gestión de Cobranzas,Tesorería General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación Gestión de Cobranzas,Dirección de Gestión de Cobranzas,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Dirección de Administración de Cuentas Bancarias,Tesorería General de la Nación,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación Cuenta Única del Tesoro,Dirección de Administración de Cuentas Bancarias,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación Técnica de Cuentas,Dirección de Administración de Cuentas Bancarias,Administración Central
Ministerio de Economía,Subsecretaría de Presupuesto,Coordinación de Otras Cuentas,Dirección de Administración de Cuentas Bancarias,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Subsecretaría de Ingresos Públicos,Secretaría de Hacienda,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección Nacional de Investigaciones y Análisis Fiscal,Subsecretaría de Ingresos Públicos,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Recursos Internos y Política Fiscal,Dirección Nacional de Investigaciones y Análisis Fiscal,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Recursos del Sector Externo,Dirección Nacional de Investigaciones y Análisis Fiscal,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Análisis Fiscal,Dirección Nacional de Investigaciones y Análisis Fiscal,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección Nacional de Impuestos,Subsecretaría de Ingresos Públicos,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Regímenes Especiales,Dirección Nacional de Impuestos,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Imposición Indirecta,Dirección Nacional de Impuestos,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Técnica y Valoración Aduanera,Dirección Nacional de Impuestos,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Relaciones Tributarias Internacionales,Dirección Nacional de Impuestos,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Imposición Directa,Dirección Nacional de Impuestos,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección del Régimen Fiscal Aduanero,Dirección Nacional de Impuestos,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección Nacional de Incentivos Promocionales,Subsecretaría de Ingresos Públicos,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Coordinación y Evaluación de Incentivos,Dirección Nacional de Incentivos Promocionales,Administración Central
Ministerio de Economía,Subsecretaría de Ingresos Públicos,Dirección de Legislación y Técnica Promocional,Dirección Nacional de Incentivos Promocionales,Administración Central
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Unidad de Auditoría Interna,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría General de Asuntos Impositivos,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría General de Asuntos Aduaneros,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 1° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 2° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 3° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 4° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 5° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 6° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 7° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 8° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 9° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 10° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 11° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 12° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 13° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 14° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 15° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 16° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 17° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 18° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 19° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 20° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Secretaría Letrada de Vocalía 21° Nominación,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Tribunal Fiscal de la Nación,Coordinación General,Tribunal Fiscal de la Nación,Organismo Descentralizado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Instituto Nacional de Estadística y Censos,Ministerio de Economía,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,"Dirección Nacional de Planificación, Relaciones Institucionales e Internacionales",Instituto Nacional de Estadística y Censos,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Relaciones Institucionales e Internacionales,"Dirección Nacional de Planificación, Relaciones Institucionales e Internacionales",Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Planificación,"Dirección Nacional de Planificación, Relaciones Institucionales e Internacionales",Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección General de Difusión y Comunicación,Instituto Nacional de Estadística y Censos,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Producción Gráfica y Editorial,Dirección General de Difusión y Comunicación,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Servicios de Información,Dirección General de Difusión y Comunicación,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Comunicación,Dirección General de Difusión y Comunicación,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección Técnica,Instituto Nacional de Estadística y Censos,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección Nacional de Estadísticas Económicas,Dirección Técnica,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,"Dirección de Estadísticas Agropecuarias, Silvicultura y Pesca",Dirección Nacional de Estadísticas Económicas,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,"Dirección de Estadísticas Mineras, Manufactureras, Energéticas y de la Construcción",Dirección Nacional de Estadísticas Económicas,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Estadísticas de Comercio y Servicios,Dirección Nacional de Estadísticas Económicas,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección Nacional de Cuentas Nacionales,Dirección Técnica,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Estadísticas de Empresas,Dirección Nacional de Cuentas Nacionales,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,"Dirección de Cuentas de la Producción, Ocupación e Ingresos",Dirección Nacional de Cuentas Nacionales,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,"Dirección de Consumo, Inversión y Sector Externo",Dirección Nacional de Cuentas Nacionales,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección Nacional de Estadísticas del Sector Externo y Cuentas Internacionales,Dirección Técnica,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Bienes y Servicios Reales,Dirección Nacional de Estadísticas del Sector Externo y Cuentas Internacionales,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Estadísticas de Activos y Pasivos Externos,Dirección Nacional de Estadísticas del Sector Externo y Cuentas Internacionales,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Estadísticas del Comercio Exterior,Dirección Nacional de Estadísticas del Sector Externo y Cuentas Internacionales,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Estadísticas Básicas de la Balanza de Pagos,Dirección Nacional de Estadísticas del Sector Externo y Cuentas Internacionales,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección Nacional de Estadísticas de Condiciones de Vida,Dirección Técnica,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Estudios de Ingresos y Gastos de los Hogares,Dirección Nacional de Estadísticas de Condiciones de Vida,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Encuesta Permanente de Hogares,Dirección Nacional de Estadísticas de Condiciones de Vida,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección Nacional de Estadísticas Sociales y de Población,Dirección Técnica,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Estadísticas Sectoriales,Dirección Nacional de Estadísticas Sociales y de Población,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Estadísticas Poblacionales,Dirección Nacional de Estadísticas Sociales y de Población,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección Nacional de Metodología e Infraestructura Estadística,Dirección Técnica,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación del Sistema Geoestadístico,Dirección Nacional de Metodología e Infraestructura Estadística,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Clasificadores y Nomenclaturas,Dirección Nacional de Metodología e Infraestructura Estadística,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Ciencia de Datos e Integración de Fuentes Alternativas de Información,Dirección Nacional de Metodología e Infraestructura Estadística,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Metodología e Innovación Estadística,Dirección Nacional de Metodología e Infraestructura Estadística,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Muestreo y Métodos de Estimación,Dirección de Metodología e Innovación Estadística,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Investigación y Desarrollo Metodológico,Dirección de Metodología e Innovación Estadística,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección Nacional de Estadísticas de Precios,Dirección Técnica,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Índices de Precios de Consumo,Dirección Nacional de Estadísticas de Precios,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Índices de Precios de la Producción,Dirección Nacional de Estadísticas de Precios,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Gestión,Instituto Nacional de Estadística y Censos,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Asuntos Jurídicos,Dirección de Gestión,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección General de Recursos Humanos,Dirección de Gestión,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Administración de Recursos Humanos,Dirección General de Recursos Humanos,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Capacitación y Carrera del Personal,Dirección General de Recursos Humanos,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección General de Administración y Operaciones,Dirección de Gestión,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Patrimonio y Suministros,Dirección General de Administración y Operaciones,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Programación y Control Presupuestario,Dirección General de Administración y Operaciones,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Logística Operativa,Dirección General de Administración y Operaciones,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Compras y Contrataciones,Dirección General de Administración y Operaciones,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección Nacional del Sistema Estadístico Nacional,Dirección de Gestión,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Organismos Provinciales,Dirección Nacional del Sistema Estadístico Nacional,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Organismos Nacionales,Dirección Nacional del Sistema Estadístico Nacional,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Delegación Regional INDEC NOA,Dirección Nacional del Sistema Estadístico Nacional,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación Técnica NOA,Delegación Regional INDEC NOA,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Delegación Regional INDEC NEA,Dirección Nacional del Sistema Estadístico Nacional,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación Técnica NEA,Delegación Regional INDEC NEA,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Delegación Regional INDEC Patagonia,Dirección Nacional del Sistema Estadístico Nacional,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación Técnica Patagonia,Delegación Regional INDEC Patagonia,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección General de Tecnologías de la Información y las Comunicaciones,Dirección de Gestión,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Coordinación de Infraestructura Digital,Dirección General de Tecnologías de la Información y las Comunicaciones,Organismo Desconcentrado
Ministerio de Economía,Instituto Nacional de Estadística y Censos,Dirección de Proyectos de Desarrollo y Transformación Tecnológica,Dirección General de Tecnologías de la Información y las Comunicaciones,Organismo Desconcentrado
Ministerio de Economía,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Ministerio de Economía,Administración Central
Ministerio de Economía,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Ministerio de Economía,Administración Central
Ministerio de Economía,Unidad Gabinete de Asesores,Subsecretaría de Información y Difusión Económica,Unidad Gabinete de Asesores,Administración Central
Ministerio de Economía,Secretaría de Energía,Secretaría de Energía,Ministerio de Economía,Administración Central
Ministerio de Economía,Subsecretaría de Energía Eléctrica,Subsecretaría de Energía Eléctrica,Secretaría de Energía,Administración Central
Ministerio de Economía,Subsecretaría de Energía Eléctrica,Dirección Nacional de Generación Eléctrica,Subsecretaría de Energía Eléctrica,Administración Central
Ministerio de Economía,Subsecretaría de Energía Eléctrica,Dirección de Generación Hidroeléctrica,Dirección Nacional de Generación Eléctrica,Administración Central
Ministerio de Economía,Subsecretaría de Energía Eléctrica,Dirección de Energías Renovables,Dirección Nacional de Generación Eléctrica,Administración Central
Ministerio de Economía,Subsecretaría de Energía Eléctrica,Dirección de Generación Térmica,Dirección Nacional de Generación Eléctrica,Administración Central
Ministerio de Economía,Subsecretaría de Energía Eléctrica,Dirección Nacional de Transporte y Distribución Eléctrica,Subsecretaría de Energía Eléctrica,Administración Central
Ministerio de Economía,Subsecretaría de Energía Eléctrica,Dirección de Transporte,Dirección Nacional de Transporte y Distribución Eléctrica,Administración Central
